Microsoft Windows [Version 10.0.15063]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>cd C:\pyfiles

C:\PYFiles>python ethbtc2.py
--------------------------------------------------
BITCOIN PRICE TRACKER v1.2
Definition of Ratios:
R1 = % spread between Bitstamp(ASK)/Gemini(BID)
R2 = % spread between Bitstamp(ASK)/GDAX(BID)
R3 = % spread between Gemini(ASK)/Bitstamp(BID)
R4 = % spread between Gemini(ASK)/GDAX(BID)
R5 = % spread between GDAX(ASK)/Bitstamp(BID)
R6 = % spread between GDAX(ASK)/Gemini(BID)
--------------------------------------------------
R3 (Time --- Spread): 2017-08-25T10:28:22.114000-07:00 --- 0.2559
R2 (Time --- Spread): 2017-08-25T10:28:23.736000-07:00 --- 0.4231
R3 (Time --- Spread): 2017-08-25T10:28:23.736000-07:00 --- 0.2559
R2 (Time --- Spread): 2017-08-25T10:28:25.469000-07:00 --- 0.4231
R3 (Time --- Spread): 2017-08-25T10:28:25.469000-07:00 --- 0.2559
R2 (Time --- Spread): 2017-08-25T10:28:27.116000-07:00 --- 0.4231
R3 (Time --- Spread): 2017-08-25T10:28:27.117000-07:00 --- 0.2559
R2 (Time --- Spread): 2017-08-25T10:28:28.908000-07:00 --- 0.4231
R3 (Time --- Spread): 2017-08-25T10:28:28.909000-07:00 --- 0.2559
R2 (Time --- Spread): 2017-08-25T10:28:30.889000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:32.836000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:34.587000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:36.224000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:37.992000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:39.786000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:41.568000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:43.186000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:45.205000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:47.152000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:48.931000-07:00 --- 0.2118
R2 (Time --- Spread): 2017-08-25T10:28:50.699000-07:00 --- 0.2117
R2 (Time --- Spread): 2017-08-25T10:29:02.750000-07:00 --- 0.2117
R2 (Time --- Spread): 2017-08-25T10:29:04.467000-07:00 --- 0.2117
R2 (Time --- Spread): 2017-08-25T10:29:06.066000-07:00 --- 0.2117
R1 (Time --- Spread): 2017-08-25T10:29:42.602000-07:00 --- 0.1717
R2 (Time --- Spread): 2017-08-25T10:29:42.603000-07:00 --- 0.2116
R1 (Time --- Spread): 2017-08-25T10:29:44.225000-07:00 --- 0.1717
R2 (Time --- Spread): 2017-08-25T10:29:44.226000-07:00 --- 0.2116
R1 (Time --- Spread): 2017-08-25T10:29:45.999000-07:00 --- 0.1717
R2 (Time --- Spread): 2017-08-25T10:29:46-07:00 --- 0.2116
R1 (Time --- Spread): 2017-08-25T10:29:47.733000-07:00 --- 0.1717
R2 (Time --- Spread): 2017-08-25T10:29:47.733000-07:00 --- 0.2116
R1 (Time --- Spread): 2017-08-25T10:29:49.433000-07:00 --- 0.1451
R2 (Time --- Spread): 2017-08-25T10:29:49.433000-07:00 --- 0.2115
R1 (Time --- Spread): 2017-08-25T10:29:51.084000-07:00 --- 0.1451
R2 (Time --- Spread): 2017-08-25T10:29:51.085000-07:00 --- 0.2115
R1 (Time --- Spread): 2017-08-25T10:29:52.911000-07:00 --- 0.1451
R2 (Time --- Spread): 2017-08-25T10:29:52.912000-07:00 --- 0.2115
R1 (Time --- Spread): 2017-08-25T10:29:54.665000-07:00 --- 0.1451
R2 (Time --- Spread): 2017-08-25T10:29:54.665000-07:00 --- 0.2115
R2 (Time --- Spread): 2017-08-25T10:30:27.703000-07:00 --- 0.1771
R2 (Time --- Spread): 2017-08-25T10:30:34.785000-07:00 --- 0.1770
R2 (Time --- Spread): 2017-08-25T10:30:36.598000-07:00 --- 0.1637
R2 (Time --- Spread): 2017-08-25T10:30:38.262000-07:00 --- 0.1637
R2 (Time --- Spread): 2017-08-25T10:30:40.132000-07:00 --- 0.1637
R2 (Time --- Spread): 2017-08-25T10:30:41.922000-07:00 --- 0.1504
R2 (Time --- Spread): 2017-08-25T10:30:43.663000-07:00 --- 0.1504
R2 (Time --- Spread): 2017-08-25T10:30:45.411000-07:00 --- 0.1504
R2 (Time --- Spread): 2017-08-25T10:30:47.010000-07:00 --- 0.2036
R2 (Time --- Spread): 2017-08-25T10:30:48.848000-07:00 --- 0.1902
R2 (Time --- Spread): 2017-08-25T10:30:50.624000-07:00 --- 0.1902
R2 (Time --- Spread): 2017-08-25T10:30:52.262000-07:00 --- 0.1902
R2 (Time --- Spread): 2017-08-25T10:30:53.863000-07:00 --- 0.1636
R2 (Time --- Spread): 2017-08-25T10:30:55.631000-07:00 --- 0.1769
R2 (Time --- Spread): 2017-08-25T10:30:57.246000-07:00 --- 0.1769
R2 (Time --- Spread): 2017-08-25T10:30:59.026000-07:00 --- 0.1769
R2 (Time --- Spread): 2017-08-25T10:31:00.798000-07:00 --- 0.2035
R2 (Time --- Spread): 2017-08-25T10:31:02.502000-07:00 --- 0.2035
R2 (Time --- Spread): 2017-08-25T10:31:04.114000-07:00 --- 0.1902
