Microsoft Windows [Version 10.0.15063]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>cd C:\pyfiles

C:\PYFiles>python ethbtc2.py
--------------------------------------------------
BITCOIN PRICE TRACKER v1.2
Definition of Ratios:
R1 = % spread between Bitstamp(ASK)/Gemini(BID)
R2 = % spread between Bitstamp(ASK)/GDAX(BID)
R3 = % spread between Gemini(ASK)/Bitstamp(BID)
R4 = % spread between Gemini(ASK)/GDAX(BID)
R5 = % spread between GDAX(ASK)/Bitstamp(BID)
R6 = % spread between GDAX(ASK)/Gemini(BID)
--------------------------------------------------
R2 (Time --- Spread): 2017-08-25T12:45:39.304000-07:00 --- 0.1785
R3 (Time --- Spread): 2017-08-25T12:46:10.730000-07:00 --- 0.2393
R4 (Time --- Spread): 2017-08-25T12:46:10.731000-07:00 --- 0.3458
R3 (Time --- Spread): 2017-08-25T12:46:12.371000-07:00 --- 0.1997
R4 (Time --- Spread): 2017-08-25T12:46:12.371000-07:00 --- 0.3061
R3 (Time --- Spread): 2017-08-25T12:46:13.995000-07:00 --- 0.1205
R4 (Time --- Spread): 2017-08-25T12:46:14.005000-07:00 --- 0.2268
R3 (Time --- Spread): 2017-08-25T12:46:15.771000-07:00 --- 0.1073
R4 (Time --- Spread): 2017-08-25T12:46:15.771000-07:00 --- 0.2136
R4 (Time --- Spread): 2017-08-25T12:46:17.571000-07:00 --- 0.1608
R4 (Time --- Spread): 2017-08-25T12:46:19.532000-07:00 --- 0.1079
R3 (Time --- Spread): 2017-08-25T12:47:02.238000-07:00 --- 0.2539
R4 (Time --- Spread): 2017-08-25T12:47:02.238000-07:00 --- 0.1608
R1 (Time --- Spread): 2017-08-25T12:50:33.860000-07:00 --- 0.1126
R1 (Time --- Spread): 2017-08-25T12:50:35.599000-07:00 --- 0.1126
R1 (Time --- Spread): 2017-08-25T12:50:37.178000-07:00 --- 0.1126
R1 (Time --- Spread): 2017-08-25T12:50:38.918000-07:00 --- 0.1125
R1 (Time --- Spread): 2017-08-25T12:50:40.676000-07:00 --- 0.1125
R1 (Time --- Spread): 2017-08-25T12:50:42.301000-07:00 --- 0.1125
R1 (Time --- Spread): 2017-08-25T12:50:43.944000-07:00 --- 0.1125
R1 (Time --- Spread): 2017-08-25T12:50:45.860000-07:00 --- 0.1125
R1 (Time --- Spread): 2017-08-25T12:50:47.582000-07:00 --- 0.1125
R1 (Time --- Spread): 2017-08-25T12:50:49.159000-07:00 --- 0.1125
R2 (Time --- Spread): 2017-08-25T12:54:00.738000-07:00 --- 0.2220
R2 (Time --- Spread): 2017-08-25T12:54:02.389000-07:00 --- 0.2220
R2 (Time --- Spread): 2017-08-25T12:54:06-07:00 --- 0.1557
R3 (Time --- Spread): 2017-08-25T12:54:55.366000-07:00 --- 0.1316
R3 (Time --- Spread): 2017-08-25T12:54:57.151000-07:00 --- 0.1315
R3 (Time --- Spread): 2017-08-25T12:54:58.922000-07:00 --- 0.1315
R4 (Time --- Spread): 2017-08-25T12:55:00.634000-07:00 --- 0.1183
R3 (Time --- Spread): 2017-08-25T12:55:18.301000-07:00 --- 0.1315
R1 (Time --- Spread): 2017-08-25T12:57:28.598000-07:00 --- 0.2657
R1 (Time --- Spread): 2017-08-25T12:57:30.226000-07:00 --- 0.2657
R1 (Time --- Spread): 2017-08-25T12:57:31.960000-07:00 --- 0.3455
R1 (Time --- Spread): 2017-08-25T12:57:33.744000-07:00 --- 0.2524
R1 (Time --- Spread): 2017-08-25T12:57:35.344000-07:00 --- 0.2524
R1 (Time --- Spread): 2017-08-25T12:57:38.644000-07:00 --- 0.2391
R1 (Time --- Spread): 2017-08-25T12:57:45.814000-07:00 --- 0.1328
R1 (Time --- Spread): 2017-08-25T12:58:19.742000-07:00 --- 0.2128
R1 (Time --- Spread): 2017-08-25T12:58:23.309000-07:00 --- 0.1862
R1 (Time --- Spread): 2017-08-25T12:58:26.898000-07:00 --- 0.2128
R1 (Time --- Spread): 2017-08-25T12:58:34.142000-07:00 --- 0.1862
R1 (Time --- Spread): 2017-08-25T12:58:35.842000-07:00 --- 0.1862
R1 (Time --- Spread): 2017-08-25T12:58:37.588000-07:00 --- 0.1861
R3 (Time --- Spread): 2017-08-25T12:59:20.390000-07:00 --- 0.2291
R3 (Time --- Spread): 2017-08-25T12:59:22.141000-07:00 --- 0.2160
R3 (Time --- Spread): 2017-08-25T12:59:23.913000-07:00 --- 0.2028
R3 (Time --- Spread): 2017-08-25T12:59:25.656000-07:00 --- 0.2027
R3 (Time --- Spread): 2017-08-25T12:59:27.314000-07:00 --- 0.2027
R3 (Time --- Spread): 2017-08-25T12:59:29.056000-07:00 --- 0.2027
R3 (Time --- Spread): 2017-08-25T12:59:30.856000-07:00 --- 0.2027
R3 (Time --- Spread): 2017-08-25T12:59:47.325000-07:00 --- 0.2290
R3 (Time --- Spread): 2017-08-25T12:59:49.290000-07:00 --- 0.2290
R3 (Time --- Spread): 2017-08-25T12:59:50.871000-07:00 --- 0.2290
R3 (Time --- Spread): 2017-08-25T12:59:52.612000-07:00 --- 0.2290
R3 (Time --- Spread): 2017-08-25T12:59:54.334000-07:00 --- 0.2026
R3 (Time --- Spread): 2017-08-25T13:00:19.054000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:20.771000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:22.510000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:24.093000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:25.869000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:27.670000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:29.269000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:31.101000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:32.837000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:34.554000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:36.169000-07:00 --- 0.2157
R3 (Time --- Spread): 2017-08-25T13:00:38.039000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:39.807000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:41.638000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:43.269000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:45.029000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:46.793000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:48.569000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:50.223000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:51.894000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:53.637000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:55.569000-07:00 --- 0.2156
R3 (Time --- Spread): 2017-08-25T13:00:59.154000-07:00 --- 0.2551
R3 (Time --- Spread): 2017-08-25T13:01:00.938000-07:00 --- 0.2551
R3 (Time --- Spread): 2017-08-25T13:01:02.699000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:04.253000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:05.986000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:08.018000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:09.769000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:11.452000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:13.032000-07:00 --- 0.2946
R3 (Time --- Spread): 2017-08-25T13:01:14.767000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:16.368000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:18.127000-07:00 --- 0.3342
R3 (Time --- Spread): 2017-08-25T13:01:19.837000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:21.590000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:23.215000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:25.088000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:27.036000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:28.726000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:30.368000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:32.090000-07:00 --- 0.3078
R3 (Time --- Spread): 2017-08-25T13:01:33.817000-07:00 --- 0.3077
R3 (Time --- Spread): 2017-08-25T13:01:35.535000-07:00 --- 0.3077
R3 (Time --- Spread): 2017-08-25T13:01:37.135000-07:00 --- 0.3341
R3 (Time --- Spread): 2017-08-25T13:01:38.917000-07:00 --- 0.3209
R3 (Time --- Spread): 2017-08-25T13:01:40.808000-07:00 --- 0.3341
R3 (Time --- Spread): 2017-08-25T13:01:42.552000-07:00 --- 0.3209
R3 (Time --- Spread): 2017-08-25T13:01:44.112000-07:00 --- 0.3473
R3 (Time --- Spread): 2017-08-25T13:01:45.887000-07:00 --- 0.3341
R3 (Time --- Spread): 2017-08-25T13:01:47.736000-07:00 --- 0.2813
R3 (Time --- Spread): 2017-08-25T13:01:49.351000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:01:50.936000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:01:52.723000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:01:54.323000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:01:56.051000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:01:57.795000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:01:59.518000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:02:01.066000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:02:02.782000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:02:04.392000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:02:06.099000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:02:07.834000-07:00 --- 0.2681
R3 (Time --- Spread): 2017-08-25T13:02:09.601000-07:00 --- 0.7823
R4 (Time --- Spread): 2017-08-25T13:02:09.606000-07:00 --- 0.4859
R3 (Time --- Spread): 2017-08-25T13:02:11.330000-07:00 --- 0.7691
R4 (Time --- Spread): 2017-08-25T13:02:11.336000-07:00 --- 0.4728
R1 (Time --- Spread): 2017-08-25T13:04:31.805000-07:00 --- 0.1446
R1 (Time --- Spread): 2017-08-25T13:04:54.044000-07:00 --- 0.1446
R1 (Time --- Spread): 2017-08-25T13:05:01.288000-07:00 --- 0.1181
R1 (Time --- Spread): 2017-08-25T13:05:04.259000-07:00 --- 0.1181
R1 (Time --- Spread): 2017-08-25T13:05:05.990000-07:00 --- 0.1181
R1 (Time --- Spread): 2017-08-25T13:05:07.719000-07:00 --- 0.1181
R1 (Time --- Spread): 2017-08-25T13:05:09.301000-07:00 --- 0.1181
R1 (Time --- Spread): 2017-08-25T13:05:11.059000-07:00 --- 0.1181
R1 (Time --- Spread): 2017-08-25T13:05:12.844000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:14.559000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:16.126000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:18.096000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:19.794000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:21.485000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:23.321000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:25.104000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:26.888000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:28.624000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:30.189000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:31.958000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:33.790000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:35.342000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:37.058000-07:00 --- 0.1180
R1 (Time --- Spread): 2017-08-25T13:05:39.079000-07:00 --- 0.1180
R2 (Time --- Spread): 2017-08-25T14:08:02.442000-07:00 --- 0.1040
Traceback (most recent call last):
  File "ethbtc2.py", line 51, in <module>
    GDAX_BID = float(GDAXBID())
  File "ethbtc2.py", line 37, in GDAXBID
    return GDAXTick.json() ['bid']
KeyError: 'bid'
